Game,Commence Time,Bookmaker,Outcome,Odds
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,DraftKings,Boston Celtics,1.46
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,DraftKings,Cleveland Cavaliers,2.8
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,MyBookie.ag,Boston Celtics,1.45
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,MyBookie.ag,Cleveland Cavaliers,2.76
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,FanDuel,Boston Celtics,1.45
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,FanDuel,Cleveland Cavaliers,2.84
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,Caesars,Boston Celtics,1.44
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,Caesars,Cleveland Cavaliers,2.85
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,BetMGM,Boston Celtics,1.44
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,BetMGM,Cleveland Cavaliers,2.8
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,BetOnline.ag,Boston Celtics,1.47
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,BetOnline.ag,Cleveland Cavaliers,2.82
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,LowVig.ag,Boston Celtics,1.47
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,LowVig.ag,Cleveland Cavaliers,2.82
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,BetRivers,Boston Celtics,1.5
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,BetRivers,Cleveland Cavaliers,2.65
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,Bovada,Boston Celtics,1.5
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,Bovada,Cleveland Cavaliers,2.7
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,BetUS,Boston Celtics,1.47
Boston Celtics vs Cleveland Cavaliers,2024-11-20T00:10:00Z,BetUS,Cleveland Cavaliers,2.83
Boston Celtics vs Philadelphia 76ers,2024-12-25T22:00:00Z,DraftKings,Boston Celtics,1.4
Boston Celtics vs Philadelphia 76ers,2024-12-25T22:00:00Z,DraftKings,Philadelphia 76ers,3.05
Boston Celtics vs Philadelphia 76ers,2024-12-25T22:00:00Z,Caesars,Boston Celtics,1.38
Boston Celtics vs Philadelphia 76ers,2024-12-25T22:00:00Z,Caesars,Philadelphia 76ers,3.1
